"index","page_name","d_year","d_month","City","Country","Users","Sessions","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"386","Visit Kosice","2021","10","Tabor","Czechia","1","1","Point","101841973","101841973","locality","Tábor","South Bohemian","Czechia","14.678012","49.412229","0.6","Tabor, Czechia","618.34","457","14.678248","49.412357"
"161","Visit Kosice","2021","01","Teplice","Czechia","2","2","Point","101748135","101748135","locality","Teplice","Ústecký","Czechia","13.837687","50.646819","0.6","Teplice, Czechia","751.49","529","13.837757","50.646823"
"313","Visit Kosice","2021","04","Teplice","Czechia","1","1","Point","101748135","101748135","locality","Teplice","Ústecký","Czechia","13.837687","50.646819","0.6","Teplice, Czechia","751.49","529","13.837757","50.646823"
"419","Visit Kosice","2021","06","Teplice","Czechia","1","1","Point","101748135","101748135","locality","Teplice","Ústecký","Czechia","13.837687","50.646819","0.6","Teplice, Czechia","751.49","529","13.837757","50.646823"
"585","Visit Kosice","2021","08","Teplice","Czechia","1","1","Point","101748135","101748135","locality","Teplice","Ústecký","Czechia","13.837687","50.646819","0.6","Teplice, Czechia","751.49","529","13.837757","50.646823"
"378","Visit Kosice","2021","09","Teplice","Czechia","2","2","Point","101748135","101748135","locality","Teplice","Ústecký","Czechia","13.837687","50.646819","0.6","Teplice, Czechia","751.49","529","13.837757","50.646823"
"669","Visit Kosice","2021","02","Tisnov","Czechia","1","1","Point","101831993","101831993","locality","Tišnov","South Moravian","Czechia","16.428349","49.346672","0.6","Tisnov, Czechia","493.39","379","16.428138","49.346768"
"432","Visit Kosice","2021","09","Tisnov","Czechia","2","2","Point","101831993","101831993","locality","Tišnov","South Moravian","Czechia","16.428349","49.346672","0.6","Tisnov, Czechia","493.39","379","16.428138","49.346768"
"533","Visit Kosice","2021","01","Tomohon Tengah","Czechia","1","1","n/a",NULL,NULL,NULL,"n/a","n/a","n/a","n/a","n/a",NULL,"Tomohon Tengah, Czechia",NULL,NULL,NULL,NULL
"741","Visit Kosice","2021","02","Tomohon Tengah","Czechia","1","1","n/a",NULL,NULL,NULL,"n/a","n/a","n/a","n/a","n/a",NULL,"Tomohon Tengah, Czechia",NULL,NULL,NULL,NULL
"588","Visit Kosice","2021","08","Trinec","Czechia","1","1","Point","1125845053","1125845053","locality","Třinec","Moravian-Silesian","Czechia","18.67078","49.67763","0.6","Trinec, Czechia","301.26","245","18.670786","49.677693"
"567","Visit Kosice","2021","09","Trinec","Czechia","1","1","Point","1125845053","1125845053","locality","Třinec","Moravian-Silesian","Czechia","18.67078","49.67763","0.6","Trinec, Czechia","301.26","245","18.670786","49.677693"
"242","Visit Kosice","2021","10","Trinec","Czechia","2","2","Point","1125845053","1125845053","locality","Třinec","Moravian-Silesian","Czechia","18.67078","49.67763","0.6","Trinec, Czechia","301.26","245","18.670786","49.677693"
"322","Visit Kosice","2021","11","Trinec","Czechia","1","1","Point","1125845053","1125845053","locality","Třinec","Moravian-Silesian","Czechia","18.67078","49.67763","0.6","Trinec, Czechia","301.26","245","18.670786","49.677693"
"427","Visit Kosice","2021","06","Trutnov","Czechia","1","1","Point","101841043","101841043","locality","Trutnov","Hradec Králové","Czechia","15.907977","50.564755","0.6","Trutnov, Czechia","640.44","468","15.908004","50.564782"
"572","Visit Kosice","2021","09","Trutnov","Czechia","1","1","Point","101841043","101841043","locality","Trutnov","Hradec Králové","Czechia","15.907977","50.564755","0.6","Trutnov, Czechia","640.44","468","15.908004","50.564782"
"251","Visit Kosice","2021","12","Trutnov","Czechia","1","2","Point","101841043","101841043","locality","Trutnov","Hradec Králové","Czechia","15.907977","50.564755","0.6","Trutnov, Czechia","640.44","468","15.908004","50.564782"
"252","Visit Kosice","2021","12","Turnov","Czechia","1","1","Point","101841143","101841143","locality","Turnov","Liberec","Czechia","15.154282","50.58349","0.6","Turnov, Czechia","743.23","509","15.154447","50.583765"
"935","Visit Kosice","2021","07","Tyn nad Vltavou","Czechia","1","1","Point","101780849","101780849","locality","Týn nad Vltavou","South Bohemian","Czechia","14.421318","49.22159","0.6","Tyn nad Vltavou, Czechia","662.89","489","14.421594","49.22147"
