"page_name","page_id","id_var_native","name_var_native","year_native","month_native","origin_city","origin_region","origin_country","val","value_source","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","5","Wien",NULL,"Austria","7","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","11","Wien",NULL,"Austria","2","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","12","Wien",NULL,"Austria","5","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","6","Benátky nad Jizerou",NULL,"Czechia","1","Facebook Graph API","Point","101824179","101824179","locality","Benátky nad Jizerou","Central Bohemian","Czechia","14.829254","50.288094","0.6","Benátky nad Jizerou, Czechia","690.04","490","14.829198","50.288135"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","6","Benátky nad Jizerou",NULL,"Czechia","1","Facebook Graph API","Point","101824179","101824179","locality","Benátky nad Jizerou","Central Bohemian","Czechia","14.829254","50.288094","0.6","Benátky nad Jizerou, Czechia","690.04","490","14.829198","50.288135"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Bernartice",NULL,"Czechia","1","Facebook Graph API","Point","1126030629","1126030629","locality","Bernartice","South Bohemian","Czechia","14.38101","49.36889","0.6","Bernartice, Czechia","644.15","480","14.381079","49.368882"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Bernartice",NULL,"Czechia","6","Facebook Graph API","Point","1126030629","1126030629","locality","Bernartice","South Bohemian","Czechia","14.38101","49.36889","0.6","Bernartice, Czechia","644.15","480","14.381079","49.368882"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Bor",NULL,"Czechia","1","Facebook Graph API","Point","101826503","101826503","locality","Bor","Plzeň","Czechia","12.776141","49.710967","0.6","Bor, Czechia","803.59","534","12.776147","49.710932"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Breclav",NULL,"Czechia","4","Facebook Graph API","Point","101831999","101831999","locality","Břeclav","South Moravian","Czechia","16.889078","48.758987","0.6","Breclav, Czechia","562.72","328","16.888654","48.758578"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Breclav",NULL,"Czechia","2","Facebook Graph API","Point","101831999","101831999","locality","Břeclav","South Moravian","Czechia","16.889078","48.758987","0.6","Breclav, Czechia","562.72","328","16.888654","48.758578"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Brno",NULL,"Czechia","1","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Brno",NULL,"Czechia","8","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Brno",NULL,"Czechia","1664","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","4","Brno",NULL,"Czechia","9","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
